CpuTime (ms)	CpuTime (ticks)
2205	22052232
2210	22107484
2215	22152172
2207	22075275
2211	22116279
2208	22087917
2269	22699308
2207	22079274
2207	22074081
2219	22199189
2205	22057542
2208	22082372
2212	22127582
2197	21973899
2194	21945529
2213	22133141
2201	22016809
2186	21866956
2200	22005905
2189	21893275
2200	22005379
2244	22449635
2200	22003045
2207	22072241
2205	22057658
2197	21976646
2202	22029646
2200	22004634
2210	22103459
2216	22161780
2201	22016136
2207	22074971
2189	21893088
2204	22049440
2208	22089807
2202	22021609
2213	22139082
2204	22041783
2206	22061956
2228	22283784
2211	22117827
2194	21949193
2209	22090500
2208	22085145
2279	22793803
2229	22298351
2205	22055608
2229	22290856
2231	22312604
2213	22133344
2184	21844405
2266	22669747
2204	22042827
2198	21986411
2203	22036440
2205	22058704
2189	21894097
2206	22068732
2236	22369293
2238	22384385
2205	22057318
2212	22127944
2197	21978531
2189	21897324
2213	22131574
2209	22091040
2216	22162768
2307	23072632
2207	22072771
2212	22123469
2213	22136725
2206	22060507
2290	22903490
2220	22209811
2215	22153788
2215	22155027
2262	22624579
2201	22017293
2200	22002765
2242	22421329
2198	21988126
2216	22164119
2218	22182595
2221	22215316
2213	22134535
2214	22144658
2199	21996852
2207	22070624
2296	22960290
2210	22103044
2213	22136404
2206	22065539
2216	22164263
2298	22980420
2209	22096682
2215	22151830
2213	22131392
2210	22102345
2226	22262409
2210	22100301
