FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
5	57158	60960
5	56625	65519
5	57327	497840
5	56667	10960
0	35	0
5	55383	63400
5	56996	550640
5	55332	70800
5	56292	0
6	60220	0
5	58411	0
5	59968	74760
5	55945	82000
6	61369	81840
5	56303	488080
5	56484	80400
5	55167	81560
5	55354	0
5	56547	82880
5	55383	83720
5	56404	49120
5	55630	510680
5	56135	84200
5	56615	80440
5	55559	0
6	60009	0
5	56208	495080
5	56424	496040
5	55699	0
5	57167	58120
5	56673	0
5	56909	58640
5	54958	508279
5	56279	494720
5	56328	491120
5	55865	498760
5	56266	451040
5	55414	0
5	55885	66520
5	56410	505560
5	56053	501720
5	55728	0
5	55983	504719
5	56100	0
5	55827	0
5	56481	508200
5	55967	66000
5	56152	509320
5	55732	0
5	55525	0
5	55877	65680
5	55984	66440
5	55924	0
5	55600	66600
5	56945	501959
5	56489	64920
5	55727	0
5	55162	0
5	56407	0
5	55902	65560
5	56203	510480
5	55227	0
5	56336	65519
5	55153	0
5	55000	0
5	55586	0
5	55567	0
5	56217	0
5	56331	0
5	56960	522599
5	55358	79240
5	56112	84000
5	56580	83960
5	56893	43240
5	57151	457000
5	55753	0
5	56671	66680
5	55645	580040
5	57756	0
5	55782	479600
5	56210	457720
5	53762	0
5	55016	83480
5	55389	88680
5	54699	0
5	55244	64159
5	56740	69800
5	52353	83720
5	55311	465320
5	56734	86320
5	54460	79320
5	56152	83760
5	54494	65800
5	57562	66320
5	56212	483680
5	53162	57320
5	56659	74520
5	56107	72920
5	59032	81160
1	16194	16977720
