CpuTime (ms)	CpuTime (ticks)
36393	363936251
36466	364663992
36245	362452145
36422	364227744
36401	364012873
36349	363493647
37134	371342838
36273	362730864
36388	363888702
36502	365029514
36303	363034116
36394	363941532
36530	365304229
36358	363583234
36293	362931164
36415	364152095
36348	363480410
36429	364291154
36518	365189574
36396	363966951
36244	362440781
36706	367063522
36376	363768094
36452	364520707
36296	362968901
36424	364243123
36448	364488211
36423	364239914
36495	364956747
36438	364383379
36362	363627302
36472	364724890
35958	359582250
36479	364794270
36478	364788692
36300	363003305
36505	365053782
36258	362584022
36398	363987405
36724	367249606
36504	365041068
36312	363126583
36503	365036747
36315	363152128
37457	374570908
36261	362615902
36432	364325968
36565	365655861
36600	366004331
36204	362049315
36154	361540701
37486	374860424
36388	363889349
36169	361697310
36137	361378260
36265	362655024
35864	358642746
36633	366338946
36946	369466837
37128	371283499
36423	364235276
36448	364486080
36338	363380485
36333	363338159
36370	363709978
36269	362697198
36372	363722956
38110	381104999
36027	360277218
36414	364148819
36462	364620799
36387	363872307
37120	371209349
36257	362570453
36408	364089004
36450	364506389
36178	361784395
36389	363894170
36307	363071805
36634	366344026
36283	362835380
36570	365705820
36503	365030067
36162	361627810
36347	363477441
36374	363746764
36131	361312214
36201	362019945
37733	377335508
36300	363001607
36226	362261396
36279	362798528
36398	363987233
37620	376205101
36231	362311288
36485	364853971
36441	364412291
36440	364409179
36557	365575494
36451	364514024
