CpuTime (ms)	CpuTime (ticks)
9049	90495905
9101	91016110
9107	91073833
9087	90870484
9097	90971991
9081	90817132
9324	93241459
9103	91039496
9082	90829145
9113	91136221
9062	90629893
9089	90896360
9117	91171958
9070	90704419
9077	90778727
9088	90887948
9090	90900213
9030	90303026
9102	91025719
9036	90362357
9080	90805623
9186	91863381
9085	90853345
9116	91162167
9063	90636538
9078	90781510
9091	90919285
9084	90846763
9100	91003955
9102	91026899
9056	90565966
9092	90926791
9029	90294735
9101	91015989
9109	91095661
9074	90747394
9127	91272719
9055	90553708
9076	90764005
9174	91749317
9090	90909851
9071	90716039
9092	90925077
9080	90806999
9373	93736513
9146	91467816
9094	90940570
9144	91445986
9131	91316903
9075	90759736
9019	90191473
9403	94032398
9084	90846166
9050	90502193
9064	90646807
9083	90833555
9005	90054005
9119	91191528
9237	92371631
9291	92919745
9099	90993054
9115	91154060
9078	90781211
9059	90592983
9121	91214094
9084	90841861
9092	90921886
9484	94843710
9027	90277926
9086	90864835
9096	90967460
9094	90940723
9386	93866670
9098	90987201
9093	90932183
9097	90971250
9449	94494319
9075	90756949
9076	90764291
9143	91438371
9077	90771430
9118	91183670
9120	91208782
9053	90532606
9100	91003637
9091	90910732
9042	90422367
9055	90554696
9399	93991885
9073	90738996
9081	90812829
9038	90380677
9073	90738957
9457	94571009
9072	90720130
9110	91103609
9092	90921361
9107	91076722
9148	91487523
9075	90759977
