FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
141	1416697	536720
144	1440743	42000
144	1441244	535040
141	1418635	417360
144	1440262	561640
141	1412800	76520
144	1442661	0
142	1428588	0
140	1403713	511320
142	1426276	0
142	1422563	571960
140	1407045	545800
141	1417799	598320
144	1441441	1384520
144	1447046	0
144	1445851	539960
0	53	955160
137	1376618	62080
141	1410212	59640
144	1446831	0
144	1445396	980280
138	1388598	53440
143	1432326	51720
142	1427363	904360
140	1408779	36560
140	1408245	69000
143	1431593	883000
142	1421778	40600
143	1436650	48960
140	1406546	57040
144	1442627	0
140	1405637	77560
142	1420002	60240
141	1413250	836680
138	1385476	40600
139	1394944	71000
141	1416003	0
0	56	878640
141	1419825	0
143	1434135	0
143	1432517	1557280
138	1385671	521560
0	42	617680
144	1442416	878440
142	1421536	45400
142	1422436	40000
142	1426720	25840
144	1444069	826600
144	1447857	40160
141	1418725	43960
142	1425397	856160
140	1403178	52640
144	1440794	63360
142	1428564	57480
141	1412836	856640
142	1428938	64720
140	1404139	546520
0	65	954320
142	1420400	41880
141	1417074	31840
140	1403051	872360
143	1432330	64000
143	1431462	66280
140	1407471	63519
137	1375987	878840
142	1427291	0
142	1420855	563720
144	1441160	1376040
141	1418401	532040
144	1441705	62480
140	1404447	50240
139	1399190	834400
141	1419651	44120
144	1442748	549240
144	1444393	1341800
144	1441290	2482480
144	1443182	82760
141	1419401	834440
142	1420784	69560
139	1391579	70040
143	1437479	49400
140	1402449	835240
142	1428563	34880
140	1407570	58800
141	1410707	879120
141	1419836	59800
143	1436954	33440
138	1389232	558760
141	1419991	587560
140	1405880	89240
141	1412718	53440
142	1426110	1326520
141	1418281	537840
142	1420818	48960
142	1427705	869440
0	56	41520
144	1444508	51880
141	1418250	62920
137	1378967	889200
142	1426605	16851760
