,0,1,2,3,4,5
0,1.96E-06,1.20E-06,0,3.35552816830013,0.965310003631367,0.240085086238139
1,2.38E-06,1.33E-06,0.58023954913619,2.40952538638256,0.90519202135053,0.232775641562249
2,1.94E-06,1.32E-06,0.542190478061552,3.21129626742349,0.942056721426363,0.239009451350307
3,1.48E-06,1.36E-06,0.919749102151678,2.65923024962823,0.902497475647644,0.235561276602998
4,3.06E-06,1.33E-06,0.832172443172509,3.13440241116494,0.929557323183376,0.234879149024766
5,3.06E-06,1.34E-06,0.401435661118057,2.56948585157208,0.912339779964989,0.231319690367999
6,2.31E-06,1.22E-06,0.291417681693847,2.86065954428822,0.949009849791167,0.239462656739646
7,2.67E-06,1.35E-06,0,2.73861242730137,0.921841813671167,0.235886260500191
8,1.93E-06,1.22E-06,0,3.03348170730101,0.951197640466241,0.240402697596898
9,3.18E-06,1.21E-06,0.725309299581459,3.19220879948935,0.95453927973032,0.237314188741077
10,2.86E-06,1.31E-06,1.24168404740643,3.35421751618704,0.93103546009574,0.234010911917494
11,1.29E-06,1.24E-06,0.812868169280763,3.01666979177878,0.950201781067172,0.246628719254365
12,2.44E-06,1.32E-06,1.19340099413009,3.06973124759657,0.918817908966433,0.23446043949296
13,2.21E-06,1.31E-06,0.714859666837025,3.00603452587888,0.928376616857657,0.233339835059533
14,2.07E-06,1.35E-06,0.788149039491516,2.72433533649353,0.897823375406053,0.230913826580563
15,3.59E-06,1.26E-06,1.07885048779641,2.5154264206617,0.958797536661432,0.233414380711043
16,2.27E-06,1.31E-06,0.447293064975633,3.08087282129906,0.9426100923654,0.238769147806449
17,3.20E-06,1.30E-06,1.37935513340948,3.17870183224924,0.940151960108831,0.230959224885588
18,1.96E-06,1.31E-06,0.839443694273661,3.23612957683923,0.939323599998744,0.236304467358165
19,1.39E-06,1.20E-06,0,3.1245240891512,0.961237275819263,0.245590933889833
20,1.42E-06,1.31E-06,0,3.01176779699076,0.927933368430187,0.233505507615622
