CpuTime (ms)	CpuTime (ticks)
134	1349109
131	1310363
131	1311556
520	5207288
521	5210463
0	5975
521	5212328
521	5212795
521	5212128
131	1311355
131	1310842
131	1312611
521	5213866
0	2064
521	5212359
131	1311743
521	5213278
521	5212980
521	5213586
131	1311067
33	332532
33	332134
521	5213245
131	1311441
131	1310781
0	5742
521	5212848
521	5213274
131	1310655
33	332913
131	1313155
521	5213248
2	21436
131	1310641
521	5211877
2	21413
8	85456
521	5213760
0	5964
521	5215873
521	5212422
131	1312729
131	1312128
131	1311431
521	5213001
131	1311034
131	1313204
131	1312530
33	332477
33	332508
0	5728
521	5211199
131	1310736
33	332437
33	332559
131	1312928
2	21519
521	5211163
520	5209954
521	5210939
520	5209709
131	1310033
521	5213223
521	5215234
131	1310815
131	1312676
8	85188
520	5209484
2	21439
131	1310759
521	5210406
521	5211259
131	1311451
2	21243
131	1311260
33	332943
33	332974
521	5212181
521	5210364
520	5209070
520	5209532
520	5208655
520	5209613
33	332800
33	332602
520	5208664
520	5206279
33	333271
520	5209080
33	332694
8	85219
521	5211289
520	5206200
520	5204967
0	5804
520	5207377
520	5206381
520	5207893
521	5211041
520	5208689
