FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
24	247242	604680
46	462304	598720
24	244231	653280
46	465845	1518880
46	465033	601800
46	462707	605880
46	465802	603880
46	464373	628280
46	469375	1520480
160	1604031	1467840
131	1313460	1105560
46	465150	11320
0	48	630800
46	462331	2007760
46	468626	47520
130	1305390	1093840
46	465458	45200
131	1315401	1505920
130	1302962	1112120
131	1311413	2025399
131	1311865	645080
130	1307000	632600
10	106112	1474480
131	1311788	1525720
130	1306414	609240
10	106630	66400
19	191075	634440
130	1308116	656600
11	117261	1509840
46	466595	70240
130	1303070	612160
19	191767	1497600
46	462790	557480
130	1303882	601400
11	116949	1516800
130	1305088	621760
130	1307471	1506320
46	466467	610720
46	466977	591440
130	1308312	612120
24	246549	1216680
46	468002	604720
46	467019	1473240
130	1301835	599560
130	1309172	572760
46	461780	1538560
160	1604910	1966520
130	1306478	913680
11	110208	59240
160	1602110	3480960
45	458151	3959560
130	1301813	3836520
46	461171	51880
0	49	2353800
130	1305500	591080
46	461869	596640
24	246670	636720
24	242783	1121680
24	248742	580840
11	110174	1708280
46	462070	625040
130	1303745	1769200
131	1311404	603840
131	1311078	1719320
130	1308446	1136600
46	465620	1917880
161	1616281	1109920
24	247436	1111840
46	468388	10680
160	1608269	2237800
167	1673884	1104800
161	1613585	1019919
0	8597	1489800
47	471342	1099080
130	1309999	2216160
160	1606090	1087280
47	470977	2386400
161	1619419	49880
47	472756	1097240
46	465324	613280
46	464959	1683280
130	1302600	986880
128	1286855	2296320
24	245214	646200
130	1306841	79640
20	202029	2251040
130	1304495	969880
130	1304892	590960
10	108602	1149920
130	1304318	1709880
130	1308390	10840
0	42	0
0	48	0
130	1309488	2225400
46	469003	1092320
46	467688	624840
46	462096	2276280
130	1304298	611160
46	462946	552960
11	115499	16673680
