FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
2	24637	1077760
0	20	1006160
3	31472	1054360
2	27870	1069800
0	23	1023840
2	28139	1023560
3	35964	1062480
2	28120	0
2	28555	1085400
4	42083	1014160
4	40517	1064320
2	27664	1076520
2	27780	1052480
0	41	1070400
2	27796	618840
4	40441	1066800
2	27483	1038759
4	40927	0
4	41259	0
4	42515	0
4	41710	0
4	42104	0
0	28	1041679
4	41517	0
4	43693	0
0	34	0
2	24411	0
4	40761	0
0	36	0
0	28	1065360
4	43737	1211600
2	24285	0
0	43	0
0	24	1048960
2	23190	0
4	43581	0
4	41828	0
2	26880	0
2	27942	1038840
4	40656	1110920
2	26009	1056560
2	27962	1052200
3	35041	1050960
4	44152	1285080
4	41142	1143040
2	27705	37120
3	39068	1217560
4	41012	40120
0	43	1028880
4	40277	1057720
2	27340	1040920
4	43504	1036160
3	31240	66120
4	42994	1273240
4	41430	1528120
3	35998	1056960
2	25905	1049120
2	26310	1115120
2	25588	43000
0	16	1061760
2	28313	1069560
4	44558	1056280
4	43671	1054960
4	43794	1055440
0	25	1055320
2	27961	1042600
4	41013	1055520
2	25633	1058120
3	34509	1033960
4	40244	615520
4	44025	1026759
4	41018	69760
0	34	10560
2	28252	103640
0	49	1067400
4	40627	1076160
0	48	1025920
4	40801	1045120
3	38341	1034400
2	26600	1061240
2	27350	1047800
4	41104	1034680
4	41322	1039120
3	33532	1040960
4	42464	1048840
0	44	1056800
4	41110	1055520
4	47890	10800
0	19	10480
4	40977	1022480
4	41184	1079400
0	51	1039040
4	48336	1018000
3	39584	1045840
2	27041	1050600
0	48	1044559
2	26938	1048240
4	47557	1049800
3	34895	541440
0	35	17305880
