FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
98	989405	0
604	6043886	1038640
98	987523	1454240
0	48	1658360
602	6026006	2125760
602	6027073	1857200
603	6034082	1430800
602	6023995	1403480
602	6025334	0
2419	24194374	1455240
2418	24189845	1071440
602	6026516	826200
602	6028601	996440
602	6026997	1137920
602	6029709	2235360
2417	24172819	1990040
0	44	2334880
2402	24024251	1406920
2402	24026170	1612840
2402	24022557	1399960
2404	24042614	1911760
2402	24027794	574720
8	88265	1383160
2405	24051159	1449320
2404	24049519	787160
9	93573	1353600
38	383176	0
2401	24014694	1119760
28	286530	2175760
603	6036235	1601600
2401	24013117	814160
39	394393	1714200
605	6051489	0
2403	24039997	275200
28	285256	2001160
2401	24019185	1878080
2401	24019383	2173480
602	6027084	1776160
602	6025422	2023159
2404	24041728	588960
98	988088	1553680
603	6035629	1622800
602	6022974	1518560
2404	24046985	1785040
2406	24062545	1364520
602	6026565	7184130
2402	24020356	1905600
2401	24018848	1078200
9	92113	1581520
2404	24046021	1950280
602	6027416	6358560
2401	24012122	2131360
0	62	2542880
2405	24053982	1646160
2405	24051908	1490280
602	6028673	544000
98	988052	73320
98	988367	1366520
98	986735	526360
0	35	1357840
602	6024968	1765280
2404	24043810	1647400
2404	24041726	1448120
2403	24037587	1890600
2406	24064469	1110120
603	6035321	1629440
2406	24062042	848320
98	986466	1751760
602	6029274	2359360
2400	24000462	1824760
2403	24033362	0
0	45	55800
0	14	1428240
602	6024278	1418600
2402	24022523	50520
2401	24018396	1585840
606	6061968	1927160
2402	24022735	658200
606	6063329	1573440
606	6066492	2020680
606	6061973	1669000
2401	24012046	1389720
2401	24017128	1393040
98	988409	1928480
2401	24015787	815120
0	44	1546560
2401	24014957	1934760
2403	24033192	44640
8	86638	1628520
0	48	7006440
2418	24181594	0
2418	24189570	2203000
0	47	2258600
2418	24184491	1600560
606	6061781	1717160
606	6061834	1426320
606	6062023	1611160
2420	24202963	51280
607	6075290	61440
0	44	18255760
