CpuTime (ms)	CpuTime (ticks)
2090	20901710
2084	20848002
2084	20845407
8317	83178830
8317	83178532
8	83695
8319	83193493
8318	83185948
8319	83196082
2084	20844789
2084	20847735
2084	20848659
8322	83226459
0	7779
8314	83149977
2084	20845190
8315	83150632
8316	83165667
8319	83198534
2084	20846801
523	5233754
523	5233644
8319	83191679
2086	20864493
2085	20853697
8	83699
8318	83187629
8317	83179274
2084	20843078
523	5232288
2084	20849098
8318	83187375
33	336187
2085	20852846
8317	83176290
33	335378
131	1319965
8318	83185190
8	83885
8321	83211976
8316	83167910
2084	20841163
2085	20858076
2084	20841156
8316	83160035
2084	20841796
2084	20840102
2084	20844728
523	5232907
523	5230386
8	83840
8318	83183853
2083	20836567
522	5228735
522	5228258
2083	20835627
33	335670
8312	83122315
8315	83158195
8315	83152206
8323	83235197
2083	20837069
8314	83143421
8316	83168316
2083	20836691
2083	20836910
132	1320043
8316	83162159
33	335534
2083	20839519
8317	83175211
8317	83176980
2084	20847051
33	335344
2084	20841571
523	5231654
523	5233419
8319	83195322
8325	83250090
8319	83191696
8318	83184620
8322	83225633
8318	83182445
523	5231528
523	5231300
8317	83171901
8319	83197113
523	5232006
8319	83190585
523	5233160
131	1319694
8319	83195525
8318	83186941
8320	83202957
8	83915
8319	83191472
8318	83180994
8321	83211547
8320	83205112
8315	83157140
