FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
16	163198	628400
20	206851	606360
16	164920	1141240
20	207925	1438680
20	206366	620440
21	210418	633120
20	208032	627440
20	208623	604720
20	209556	641560
37	373931	1148560
37	373918	1412560
20	207211	634520
20	206948	1130400
21	210528	625120
20	207715	634000
37	372817	623600
21	210182	629600
37	377785	44040
37	375596	606480
37	373180	1146640
37	373024	601360
37	372524	602960
10	103704	621040
37	372988	1958160
37	374942	605200
10	104860	618880
11	119876	618680
37	374999	645040
10	107537	617000
20	208597	613640
37	372985	618720
11	119986	1395520
20	207495	1152880
37	373047	1157520
10	106765	621000
37	373485	624880
37	374539	628000
20	208857	1152480
20	208762	1145120
37	374085	627320
16	165725	687240
20	206886	621360
20	207407	639240
37	371594	1201200
37	372392	1117880
21	210817	1455760
37	372074	624600
37	373077	625000
10	105167	622520
37	371783	612560
21	211016	619440
37	374969	59080
20	206626	1152320
0	50	608800
37	373644	586520
20	201910	637200
16	162710	1159720
16	162985	589040
16	162326	596280
10	101259	589760
19	199508	731440
37	372589	54640
36	368821	608360
37	374086	613000
37	370592	653880
20	204833	1415120
37	373210	602960
16	160571	653120
21	210085	10640
0	55	0
37	371678	0
0	43	74720
0	46	0
19	197364	0
36	368633	632520
37	375597	658120
20	203602	637520
37	371189	644040
19	199877	646600
20	203791	1195920
19	199554	580320
36	367029	0
37	374835	619800
16	163611	592040
36	369790	1134920
11	113241	1106680
37	370326	673240
37	371546	608520
10	102235	0
37	371214	0
37	370583	11160
0	53	1433360
36	368945	614960
36	368596	618840
20	205508	639360
20	205561	586240
20	207636	623840
37	372991	621240
20	205161	566440
0	73	0
