CpuTime (ms)	CpuTime (ticks)
10	106552
8	84645
8	88090
32	328818
32	329006
0	521
32	328772
32	328487
32	328859
8	84367
8	84343
8	84218
32	328207
0	512
32	328379
8	84322
32	328844
32	328451
32	328528
8	84338
2	21706
2	21691
32	328734
8	84301
8	84299
0	507
32	328417
32	328468
8	84352
2	21709
8	84625
33	331551
0	1600
8	84466
32	328755
0	1495
0	5442
32	328818
0	518
32	328802
32	328483
8	84417
8	84400
8	84326
32	328663
8	84325
8	84269
8	84327
2	21729
2	21687
0	506
32	328424
8	84549
2	21726
2	21695
8	84289
0	1515
32	328517
32	328835
32	328598
32	328260
8	84471
32	328410
32	328775
8	84494
8	84554
0	5449
32	328442
0	1517
8	84435
32	328671
32	328480
8	84373
0	1483
8	84335
2	21681
2	21732
32	328367
32	328707
32	328184
32	328341
32	328285
32	328268
2	21729
2	21732
32	328384
32	328552
2	21656
32	328543
2	21655
0	5444
33	332116
33	330952
32	328668
0	526
32	328886
32	328517
32	328285
32	328426
32	328780
