,0,1,2,3,4,"comp_4x4"
0,3.73E-07,3.24E-08,1.8426760131064,2.87172139107776,0.895252375248599,0.0180417730468726
1,2.57E-07,2.94E-08,1.85847643871795,2.83966326509702,0.893081926932069,0.0139654396058011
2,3.48E-07,3.49E-08,1.85481386609483,3.01060084841369,0.897522330820208,0.0217377503781145
3,3.59E-07,3.39E-08,1.83845429108617,2.97646894060986,0.896529029315651,0.0215200508633003
4,6.25E-07,6.90E-08,1.57693253933109,2.74285986516114,0.922982150086272,0.0179978555897043
5,4.20E-07,5.73E-08,1.66628997880128,2.98194207671868,0.916611664203328,0.0149937998814019
6,7.87E-07,7.54E-08,1.52185854509241,2.93694839965205,0.925071584668427,0.0251970905022519
7,5.67E-07,5.21E-08,1.67128508711511,3.07792852546294,0.919885199961818,0.0175818782254419
8,6.29E-07,4.74E-08,1.66965646627079,2.73091271263828,0.924475320059622,0.0280192353714709
9,8.50E-07,6.00E-08,1.58787229352042,2.5961492057703,0.937899784071984,0.0290928338568147
10,4.41E-07,3.71E-08,1.70694255373548,2.64207452890437,0.914415154369559,0.0234113329272565
11,6.91E-07,6.00E-08,1.61278099355641,2.70351338262945,0.931575966001,0.0290692342700081
12,3.81E-07,2.83E-08,1.63620986346709,2.8611848121677,0.909004684983242,0.0213152495683979
13,4.54E-07,3.20E-08,1.66752642166839,2.83458880983732,0.910301251333404,0.0261963414015357
14,4.21E-07,3.21E-08,1.67032919023752,2.91274891900369,0.911564432579507,0.0259410013676761
15,1.02E-06,4.63E-08,1.41689423243836,2.74905558467232,0.916173267858402,0.0622849196567477
16,3.02E-07,2.50E-08,1.8115512289933,2.68789973782865,0.897552796966848,0.0209006117360286
17,3.47E-07,3.00E-08,1.78046021933133,2.83822940060851,0.904221407561467,0.0206673799894354
18,4.46E-07,3.35E-08,1.68557461794099,2.7668169462088,0.906384969149927,0.0303623946375872
19,4.75E-07,3.60E-08,1.69467772501388,2.75984779949719,0.909396886649301,0.0311620221763834
20,2.92E-07,2.27E-08,1.8500849650852,2.55620082130704,0.894588160292902,0.017165021565193
21,4.70E-07,2.74E-08,1.77913770352395,2.59288535098259,0.902532538391471,0.0245651127087273
22,2.71E-07,2.45E-08,1.8198858265692,2.51820541909247,0.894578330127073,0.017138195018343
23,2.35E-07,2.24E-08,1.83788876466731,2.49053498288377,0.892762826404655,0.0148903884815945
24,5.54E-07,5.08E-08,1.62827739495112,2.6750376683168,0.909709126370142,0.0242966649180606
25,3.40E-07,3.41E-08,1.72106285923996,2.61773552694316,0.897706337447888,0.0175793368827802
26,4.19E-07,3.05E-08,1.68850919291789,2.38776002365763,0.89917597713958,0.0237327906677769
27,6.44E-07,4.66E-08,1.4530157139784,2.44590906569304,0.907034610591941,0.0279427181888507
28,6.15E-07,5.62E-08,1.69895459811113,2.88326198889291,0.922235330582109,0.0277097887239554
29,5.43E-07,5.20E-08,1.75027380729946,2.76012284668353,0.915448047377662,0.0277990342414474
30,1.08E-06,7.06E-08,1.62882855196638,2.53494253628247,0.925922680980539,0.0549670661891694
31,9.47E-07,6.21E-08,1.65594483327491,2.59892504533593,0.921990163583421,0.0478104723089247
32,5.88E-07,7.63E-08,1.70871817151128,2.83693251641201,0.924922376997834,0.0231478690377555
33,4.14E-07,5.74E-08,1.73603080605555,2.65657160438852,0.915611030168162,0.0170216215801758
34,5.79E-07,7.77E-08,1.70152652336662,2.88741061429073,0.924781583538861,0.0237496751328552
35,5.17E-07,7.66E-08,1.73561065401329,2.80938039591794,0.920723070641318,0.0288118412294101
36,2.60E-07,2.08E-08,1.82947583873954,2.86639635687958,0.895970744735712,0.0125914576135311
37,3.81E-07,2.64E-08,1.60041937175159,2.73807918786351,0.89665238221798,0.0311173184368448
38,2.42E-07,2.37E-08,1.84098991650552,2.75490474223681,0.892383425732465,0.0131718930901142
39,2.61E-07,2.34E-08,1.72929812678275,2.7767259316293,0.893655226084487,0.0248382463890363
40,3.32E-07,3.01E-08,1.67929491312758,2.81121529063718,0.900742625292943,0.0221185894301496
41,2.51E-07,3.09E-08,1.76508681777964,2.74772811328821,0.896745604004933,0.0211666798042558
42,3.97E-07,3.07E-08,1.6738206376975,2.76186278465384,0.903677483254543,0.0267205806214075
43,5.12E-07,3.74E-08,1.58056666575657,2.76486136861018,0.911520150062389,0.029124048392329
44,7.71E-07,9.99E-08,1.62987703144181,2.70066673307599,0.92725805047694,0.0431690487163954
45,4.39E-07,3.73E-08,1.73229070928715,2.46756851431945,0.916509186168329,0.0200193754170133
46,5.34E-07,3.28E-08,1.7310000276419,2.44363782315987,0.916828382300487,0.0309515247025279
47,1.17E-06,1.17E-07,1.70184082684104,2.39548963365425,0.936637086180879,0.0846999155766416
48,2.40E-07,1.90E-08,1.86575843599745,2.68811276378923,0.89203264707312,0.0138999424578937
49,2.04E-07,1.80E-08,1.8657169620409,2.72210817603184,0.891310578768185,0.0126319494339487
50,3.31E-07,2.01E-08,1.86983312599448,2.62535520052115,0.89306336931653,0.0234393482445946
