CpuTime (ms)	CpuTime (ticks)
7	78877
1	19439
2	21048
2	21138
1	17728
1	17645
3	31161
1	18496
1	19482
1	17953
2	25835
1	17893
1	17760
2	20405
1	17759
1	17757
1	17607
1	17869
1	17741
1	17692
1	17678
1	17587
1	17665
1	17678
1	17801
1	17778
1	17658
1	17508
1	17891
1	17841
1	17807
1	17758
1	17708
1	17782
1	17760
1	17864
1	17773
1	17716
1	17805
1	17752
1	17646
1	17737
1	17624
1	17677
1	17757
1	17808
1	17831
1	17750
1	17801
1	17700
1	17814
1	17666
1	18029
1	17803
1	17740
1	17733
1	17767
1	17694
1	17653
1	17623
1	17743
1	17761
1	17738
1	17783
1	17796
1	17655
1	17761
1	17654
1	17638
1	17838
1	17669
1	17578
1	17768
1	17656
1	17532
1	17818
1	17807
1	17691
1	17703
1	17816
1	17774
1	17783
1	17873
1	17694
1	17798
1	17720
1	17709
1	17712
1	17665
1	17710
1	17841
1	17690
1	17707
1	17699
1	17596
1	17608
1	17701
1	17700
1	17728
1	17609
