CpuTime (ms)	CpuTime (ticks)
29	293502
28	284068
28	283985
28	284173
28	284386
28	284343
28	284362
28	282916
28	283841
28	284442
28	283978
28	284320
13	131674
28	284101
13	131241
13	131016
28	283903
28	283451
28	284082
13	131040
28	283418
28	283959
28	283528
13	131272
28	284907
28	284434
28	284405
28	283962
28	283736
28	283756
28	283280
13	131496
13	131425
28	284212
28	283699
28	284442
28	284701
28	284068
28	284284
28	283954
13	131384
13	131311
28	284010
28	283501
28	284250
28	284062
28	283880
28	284213
28	284053
28	284561
28	284313
13	131501
28	284992
28	284058
28	284237
28	284483
28	284619
28	283461
28	283896
28	283905
28	284264
28	283875
28	284679
13	131464
28	284984
13	131393
28	284306
28	283996
13	131637
13	131357
28	283711
28	283713
13	131495
28	284113
28	283285
28	284474
28	284157
28	284161
28	283994
28	284681
28	284235
28	283465
28	284210
28	284512
13	131468
28	283878
28	283582
28	284132
28	284006
28	283711
28	283292
13	131383
28	284181
28	283931
28	284128
28	283400
28	283711
28	283946
28	283733
28	284198
