FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	52	0
0	1866	27880
0	1523	34440
0	3611	28080
0	3478	34120
0	27	33960
0	2268	36000
0	37	0
0	2196	32439
0	31	0
0	2210	896040
0	2028	24040
0	1211	1824120
0	1472	27320
0	1612	28320
0	2515	23400
0	1520	491600
0	2368	649640
0	1476	32800
0	1539	22320
0	1782	23760
0	1750	498760
0	2038	32960
0	1594	495920
0	2027	23680
0	2191	22000
0	2176	18280
0	1749	30840
0	1774	10640
0	2229	23280
0	1453	21960
0	14	24200
0	1528	589840
0	1387	18840
0	2333	20720
0	2271	9520
0	1746	601840
0	1339	25480
0	1999	17960
0	2156	34520
0	2157	39240
0	21	59600
0	11	12800
0	2513	21920
0	24	45640
0	1632	16920
0	3083	14840
0	1969	18120
0	1560	43720
0	2197	11360
0	2275	18320
0	16	33120
0	1944	9400
0	2548	1042720
0	6026	11720
0	11	21480
0	2264	9520
0	2023	1945560
0	1324	2231320
0	1893	34200
0	1954	602720
0	1475	9600
0	2008	631280
0	1363	19200
0	2470	657440
0	1309	17160
0	2086	17480
0	1756	10920
0	2033	656160
0	1415	23000
0	1474	18840
0	2119	13760
0	1574	18800
0	2183	17360
0	2263	673200
0	1336	13880
0	2015	713680
0	1445	10760
0	2092	23320
0	2081	9600
0	2015	633800
0	1404	13360
0	2162	620160
0	1731	10520
0	2589	633760
0	1351	17480
0	1899	659720
0	1436	35280
0	1750	2143240
0	1933	991280
0	10	36600
0	1933	26160
0	1843	25280
0	13	29520
0	2324	33760
0	9755	2082879
0	15	234920
0	16	10640
0	1827	53800
0	8918	16173639
