,0,1,2,3,4,"comp_4x4"
0,1.49E-06,1.16E-07,1.14077542971638,3.48758100546654,0.967287254258465,0.0752863785443807
1,1.51E-06,1.13E-07,1.11937888356243,3.42778090954086,0.968721170748856,0.0710087061943748
2,1.50E-06,1.06E-07,1.10508868869205,3.45988822622262,0.966597458376843,0.0762436556651785
3,1.03E-06,8.94E-08,1.00820440446014,3.23771923260747,0.950216755799083,0.0438899949001664
4,1.75E-06,1.19E-07,1.0871794768245,3.18798777124671,0.969607729921722,0.0662865965109541
5,1.92E-06,1.22E-07,1.03673195236651,2.95153207665735,0.970844842135608,0.0750088816313193
6,1.62E-06,1.17E-07,1.1247182510982,3.00241105090245,0.966896895171029,0.058417049682374
7,1.33E-06,9.84E-08,1.3771468648109,2.75189978857856,0.959038278927565,0.049184102144365
8,1.79E-06,1.58E-07,2,2.96547569938619,0.976965218225711,0.0942649844362063
9,1.77E-06,1.59E-07,2,2.9448999479193,0.978477354296311,0.094405176613494
10,1.81E-06,1.69E-07,2,2.79605132675436,0.979089491279571,0.102700006842011
11,1.90E-06,1.72E-07,2,2.96846655436546,0.974987877676736,0.0864300671946242
12,2.89E-06,2.21E-07,2,3.0577165685302,0.982468071775782,0.145209895041279
13,3.04E-06,2.01E-07,0.405388148091048,2.89739613672714,0.975904725101225,0.0879259654836856
14,3.10E-06,2.10E-07,0.449751926160459,2.94631604276996,0.977326911571567,0.0991829470794489
15,2.45E-06,2.02E-07,0.506860098413124,2.7018455404261,0.975565423996667,0.103556518733043
16,1.17E-06,1.06E-07,0.660409399134643,3.27370942285375,0.962218583756651,0.068322414050139
17,9.74E-07,8.60E-08,0.420730309576176,3.23553470893039,0.956281504653074,0.069557532659189
18,1.25E-06,1.17E-07,0.393482631367535,3.12447036258635,0.96039902257049,0.0558704522956528
19,1.17E-06,1.13E-07,0.651467286556261,3.33855763888627,0.965942923358656,0.0689683232614173
20,1.42E-06,1.14E-07,0.911997891858887,3.18814535587189,0.964790959989284,0.0685295770761062
21,1.53E-06,1.13E-07,0.891687065723915,3.10762032734882,0.966518675281109,0.0665980594974599
22,1.56E-06,1.14E-07,1.0607845796674,3.09666159341869,0.965445197747365,0.0640699426996433
23,7.53E-07,4.88E-08,0.943960887846163,2.79052223198456,0.93323466928025,0.0499818360784663
24,8.86E-07,6.00E-08,1.18120280014838,3.54578069974431,0.959355953368928,0.067344022298417
25,9.64E-07,8.70E-08,2,3.35569639277428,0.960890954378378,0.0818632871807011
26,1.22E-06,1.12E-07,0.821894975914803,3.28450863864258,0.970520197845802,0.0879621102815643
27,9.48E-07,9.39E-08,0.6678956275927,3.32607856360501,0.962042914206814,0.0766051037987036
28,1.50E-06,1.15E-07,0.474610355424658,2.86648500995236,0.967616319385987,0.08891148378189
29,1.60E-06,1.22E-07,0.69304563520398,2.90002453278959,0.968486242549304,0.0798561246477286
30,1.63E-06,1.49E-07,0.409351514337879,2.93102878885969,0.972191738462528,0.0693051073765394
31,1.41E-06,1.57E-07,0.134321547782697,3.03661846553285,0.975068884051681,0.0849768042735174
32,1.27E-06,1.14E-07,0.326249723631633,3.13839888370804,0.964318988123074,0.0762474295031491
33,1.14E-06,9.90E-08,0.224988625046043,3.00600662157422,0.959942800686676,0.0758384292905083
34,1.83E-06,1.50E-07,0.288152886948475,3.00780188928465,0.965971084981028,0.0707132027071867
35,2.26E-06,1.73E-07,2,2.80430927838949,0.967104887617839,0.0738763653705038
36,1.78E-06,1.21E-07,0.936875050897201,3.18295508535595,0.970161601586035,0.0676181666078521
37,1.76E-06,1.21E-07,0.869377312458209,3.16595231280231,0.970623164857146,0.0695646086292592
38,1.76E-06,1.25E-07,0.951758534873661,3.21672499514346,0.969776232510439,0.0719391916661597
39,1.13E-06,8.18E-08,0.827814270135726,2.85249213531215,0.953332794655995,0.050110627329819
40,9.40E-07,1.02E-07,2,2.84593035216234,0.962759991363712,0.10801232026278
41,9.34E-07,1.04E-07,2,2.88683285762154,0.96487689241769,0.112303358521812
42,1.08E-06,1.09E-07,2,2.87312390809803,0.966001452997715,0.121493738090265
43,1.03E-06,9.75E-08,2,2.821153835535,0.959853432811409,0.106410465140095
44,1.56E-06,1.21E-07,0.58259340860216,3.37973212350685,0.968045212134133,0.069495480843248
