FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
4	47968	535360
22	223077	39240
22	223918	41120
22	223758	1139520
4	45422	0
4	47785	0
0	50	41160
22	224206	80240
0	31	0
0	26	0
0	30	0
4	46921	0
5	53135	0
0	52	0
4	47569	82840
4	47187	79240
0	40	78240
4	47764	38240
0	73	40400
22	223368	68200
4	47973	45760
0	64	0
0	72	533080
0	51	0
22	223792	80560
0	41	45800
22	224201	73640
4	47062	91520
4	47779	83080
0	36	50800
0	56	74400
4	47924	0
4	48044	1281520
4	46285	478960
0	39	557240
0	39	83280
0	38	531640
22	224176	83080
0	27	0
0	50	84000
4	46946	1031400
0	53	0
4	48035	41720
22	225162	87680
0	18	530280
0	59	41440
0	47	555280
0	57	56920
22	223854	82000
4	47003	627040
22	223328	0
22	223344	0
0	18	31080
0	89	543000
0	21	515640
22	223480	81240
0	34	519159
4	48001	0
22	224492	0
4	48228	505800
0	36	38840
0	69	783160
22	221510	1049240
0	25	82840
4	48755	549680
0	61	43160
22	222701	52920
0	34	538320
22	222927	55840
4	48289	52600
0	46	82480
0	36	528360
0	15	84000
0	29	86520
0	59	0
0	56	0
22	223188	545720
0	23	83280
0	29	0
0	77	560720
22	223514	483360
4	47337	535760
0	18	83720
0	29	74440
4	47963	559800
0	89	87440
0	27	541800
0	17	585480
22	223778	62000
0	37	555040
22	222638	532480
0	16	71480
0	34	479680
0	35	81840
4	48222	747720
4	47813	38400
0	66	476440
0	27	523440
0	52	38080
23	231262	16397680
