FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	39	1110800
445	4455359	2292960
0	49	473040
0	46	52600
0	58	1640440
75	758969	1178160
0	43	1382440
445	4453073	50800
0	31	550520
0	36	60840
0	45	527320
0	42	388040
76	760157	1107760
0	44	1110160
76	760100	1021400
0	44	65080
0	36	375920
0	49	1820560
0	45	1875800
445	4453633	340040
0	34	2589720
0	43	2239080
445	4454444	2470240
0	34	2245240
445	4453727	529560
0	81	1758840
0	57	64159
0	40	570480
0	40	355600
0	42	1858800
0	61	47160
0	49	1017640
0	40	1612600
0	40	544760
0	39	55920
0	39	60200
0	54	350480
443	4438293	0
0	46	1844960
0	47	71160
0	41	2354400
0	45	376560
0	35	1783640
0	37	1554240
0	33	1810600
0	42	1716840
0	47	2545920
0	45	72240
445	4454289	847760
0	37	2228320
0	72	1765080
0	37	375000
0	56	1709960
0	50	61000
0	46	1690960
0	40	1040280
0	59	50600
0	42	1046480
0	60	1034720
0	33	44600
0	41	1993080
0	39	1838120
0	41	1725400
0	36	497400
0	36	2201640
445	4457237	1775440
0	43	66280
0	40	2242920
0	42	67760
0	46	2232720
0	46	539840
0	38	91840
0	53	534440
0	31	2910040
0	63	2485080
0	38	2297840
0	39	507000
0	39	521039
0	42	2551840
0	49	2196120
0	52	599880
0	35	1016480
76	760193	1135880
0	46	498720
74	748128	0
0	51	79360
0	49	63880
0	35	2440080
0	39	375760
0	44	1962640
0	40	72920
0	36	398480
0	54	381760
0	34	73760
0	35	55040
0	37	1794520
445	4452164	544640
0	41	354400
0	40	1852360
445	4450905	18351800
