CpuTime (ms)	CpuTime (ticks)
7	74720
1	18376
0	4435
0	4416
1	16008
1	16022
0	4440
0	4610
0	5091
1	16087
0	4368
1	16038
1	16112
0	4509
1	18481
1	19277
1	16073
0	4383
1	17038
0	4662
2	20450
0	4544
0	4407
0	4379
1	16022
1	16090
1	16053
0	4335
0	4323
0	4332
0	4316
0	4380
0	4316
0	4365
1	17274
0	4313
1	16054
1	16154
1	16056
0	4317
1	15995
0	4352
0	4352
0	4370
0	4316
0	4313
0	4365
0	4317
1	16016
0	4328
0	4346
1	17218
1	15979
1	16050
1	16011
0	4325
0	4377
0	4321
0	4313
1	16032
1	16102
1	16033
1	16049
1	16266
1	16013
1	16066
0	4356
0	4370
0	4316
0	4381
0	4350
0	4375
1	16093
1	16047
1	16025
1	15952
1	16020
1	16036
1	16146
0	4395
0	4318
0	4399
1	15962
1	16010
1	16026
1	17258
0	4369
0	4316
0	4386
0	4344
0	4366
1	16046
1	16017
1	16001
1	15988
0	4456
0	4386
0	4366
1	16111
1	16060
