CpuTime (ms)	CpuTime (ticks)
35	357952
157	1574673
27	273654
27	274454
157	1573108
157	1575726
27	272900
27	273344
27	273246
157	1576864
27	272548
157	1572733
157	1573284
27	272362
157	1576184
158	1581838
157	1573547
27	272417
169	1690289
27	272559
157	1574179
27	275771
27	272728
27	273076
157	1575460
157	1573567
157	1573489
27	272626
27	272725
27	272967
27	273045
27	273767
27	274467
27	273499
168	1687844
27	273381
157	1573041
158	1588662
157	1573547
27	272844
157	1573630
27	273437
27	272713
27	273147
27	274287
27	273027
27	274271
27	272879
170	1706494
27	273556
27	273210
157	1572758
158	1586481
157	1573932
157	1573368
27	272993
27	274417
27	273863
27	273583
157	1573410
157	1573797
157	1575421
157	1574038
157	1573767
157	1575692
168	1689181
27	273065
27	272903
27	276175
27	273686
27	273430
27	273225
157	1573257
157	1575471
157	1574054
157	1573301
157	1576793
157	1573511
157	1573383
27	273694
27	273349
27	275429
158	1584081
157	1573487
157	1573105
158	1584084
27	273222
27	273252
27	273130
27	273161
27	273271
157	1574407
157	1576381
157	1572626
157	1573451
27	272987
27	272796
27	274188
157	1574076
157	1572941
