CpuTime (ms)	CpuTime (ticks)
7	74897
35	359781
6	68011
6	68098
34	347422
34	347453
6	69923
6	68062
6	68052
34	347423
6	68144
34	347369
34	349259
6	68159
34	347335
34	347188
34	347376
6	68017
34	347771
6	68229
34	347793
6	68388
6	68083
6	67998
34	347649
34	347976
34	347547
6	68248
6	68231
6	68238
6	68368
6	68371
6	68253
6	68336
34	347608
6	68320
34	348234
34	349893
34	347607
6	68217
34	347919
6	68185
6	68310
6	68328
6	68264
6	68254
6	68402
6	68149
34	347711
6	68629
6	68287
34	348435
34	347812
34	347830
34	348046
6	68331
6	68300
6	68279
6	68256
37	372629
34	347674
34	347777
34	348270
34	347557
34	347354
34	347518
6	68599
6	68316
6	68307
6	68228
6	68314
6	68383
35	350259
34	348397
34	349015
34	348525
34	348646
34	347940
34	348126
6	68323
6	68292
6	68551
34	347515
34	347555
34	347680
34	348086
6	68472
6	68372
6	68307
6	68302
6	69108
34	347488
34	347732
34	348959
34	348007
6	68463
6	68831
6	68270
34	348585
34	348513
