CpuTime (ms)	CpuTime (ticks)
117	1174776
708	7086952
112	1127898
110	1101628
708	7084915
708	7083526
110	1102021
110	1101127
109	1099572
708	7087672
110	1100936
708	7083480
708	7082969
110	1100173
708	7082633
772	7725897
708	7083254
109	1098861
712	7124844
110	1100318
708	7083515
110	1100925
110	1100225
109	1099551
708	7087021
708	7083987
708	7081433
110	1101082
110	1103435
110	1100681
109	1099447
110	1100739
110	1100286
109	1099560
708	7082618
110	1100268
708	7085166
708	7082190
708	7081884
110	1103401
708	7084697
110	1100599
109	1099496
110	1100638
109	1099949
109	1099263
110	1101399
110	1100795
708	7083232
110	1101897
110	1100692
708	7083247
708	7084621
708	7085555
708	7085457
110	1101237
110	1101626
109	1099067
110	1100071
708	7084095
712	7122242
708	7086178
708	7082853
708	7082517
708	7084760
708	7082962
109	1099242
110	1100827
109	1099993
110	1102609
110	1100039
110	1100381
708	7082042
708	7084146
708	7083706
712	7122599
708	7083597
708	7084806
708	7085960
110	1101047
110	1100322
109	1099588
710	7101510
710	7100084
708	7085961
708	7084819
110	1100118
109	1099885
110	1101017
109	1099672
109	1099583
708	7084198
708	7082373
708	7081452
708	7085636
110	1100363
109	1099972
110	1100734
708	7083977
708	7086432
