CpuTime (ms)	CpuTime (ticks)
4267	42673055
4358	43588742
4267	42679185
4396	43968777
4468	44680686
4334	43347161
3864	38645543
4223	42234533
4256	42568134
3946	39461297
4257	42573105
4362	43622822
4429	44296879
4340	43404062
4233	42336807
4398	43980110
4405	44055979
4239	42397437
4433	44339645
4311	43118087
4165	41650885
4510	45105232
4488	44885233
4269	42694542
4303	43038172
4233	42330323
4307	43075277
4317	43176100
4248	42483499
4318	43188222
4369	43693659
4333	43339245
4390	43902863
4377	43774610
4569	45690433
4320	43209766
4483	44833748
4296	42964186
4376	43768195
4543	45439952
4454	44543613
4240	42400027
4230	42302899
4272	42722603
4631	46316919
4629	46298685
4453	44531513
4223	42236373
4463	44634165
4305	43054188
4263	42637377
4252	42526482
4367	43676546
4432	44324569
4433	44332183
4311	43115458
4263	42636749
4560	45605108
4007	40071213
4691	46915412
4407	44075995
4379	43791643
4518	45186304
4392	43924153
4295	42958004
4577	45770903
4595	45956709
4669	46695418
4172	41723230
4395	43954265
4268	42689009
4264	42649924
4320	43206208
4145	41453884
4280	42808903
4353	43538948
4707	47073539
4344	43449379
4325	43258324
4282	42822619
4271	42711710
4446	44460272
4291	42913498
4265	42654457
4307	43070625
4265	42650359
4303	43035941
4279	42794470
4596	45969181
4432	44326045
4564	45643221
4406	44063034
4282	42820828
4580	45807417
4315	43158584
4371	43711439
4566	45668160
4273	42736468
4225	42259839
4275	42753543
