FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
536	5368967	65199
541	5414282	34960
532	5328524	1365760
540	5407576	1596480
535	5356725	52880
0	71	1408480
533	5333113	944760
534	5340271	1401640
525	5258556	851440
526	5267772	42400
532	5323705	3289120
530	5304927	1433840
531	5314472	2048600
0	68	115200
525	5259691	1474560
532	5325558	1519000
544	5441973	1006080
530	5303664	1536840
534	5340596	927600
536	5368840	1528520
525	5257928	854840
542	5422052	1442960
524	5249168	1464960
0	56	1468560
516	5165516	1434760
515	5153220	949440
528	5281403	0
525	5255449	966280
535	5356773	1467160
525	5255153	1453640
520	5207218	1272400
516	5162199	943880
536	5369138	1424840
0	72	1448720
533	5337972	1444480
0	65	42840
528	5285529	1056240
533	5334530	897520
534	5342262	1022640
536	5360023	1357040
535	5357463	1583160
533	5332954	977360
538	5382268	1634240
540	5409794	929000
530	5300860	953600
535	5354584	1090000
541	5411965	899440
533	5333344	1125560
524	5241832	1693800
536	5363241	1212600
543	5433307	1431000
512	5123035	978040
522	5228026	1003919
520	5207334	1016040
533	5335251	970360
525	5253731	1281400
530	5305257	945760
535	5359780	1620000
534	5340532	1068480
534	5346010	1109360
541	5417455	1061440
537	5370945	1046000
527	5274371	984600
537	5372838	1006119
537	5378839	956840
533	5336106	1576320
524	5246847	1078080
514	5144884	939760
532	5329073	932680
523	5235898	1014280
537	5373303	878680
533	5332056	949720
532	5321232	43720
526	5268742	0
528	5289668	923680
525	5255477	999120
526	5262387	906840
531	5316595	913080
534	5348608	971680
543	5433393	993040
511	5111814	973320
524	5246016	939920
542	5425744	0
523	5236346	1092920
535	5356156	993480
536	5365732	1003479
476	4764300	1021280
519	5191201	958400
531	5315778	981640
539	5390637	968840
533	5333282	1036720
535	5358180	1063600
527	5279851	1033960
536	5367375	1593000
542	5422197	1170800
509	5091276	926480
524	5248857	986040
533	5334587	1075520
537	5374531	1558320
0	48	17441120
