CpuTime (ms)	CpuTime (ticks)
19517	195176211
19720	197206153
19933	199338650
19417	194170224
19454	194549531
19770	197701809
18894	188948942
19604	196048251
19591	195913852
18996	189969411
19768	197681728
19493	194932621
19983	199834751
19892	198925213
19958	199582100
20045	200454292
19722	197227020
20091	200913436
20099	200992538
19819	198194536
19758	197584254
19793	197932361
20084	200848946
19635	196352950
20062	200621983
19750	197502174
20044	200443742
19928	199280992
19955	199559662
19822	198221098
19865	198658370
19870	198701662
19359	193594553
19547	195472402
19444	194448048
19685	196854074
19430	194301898
18979	189797406
19329	193299834
19314	193149312
19588	195882955
19386	193863889
19420	194208269
19224	192244078
19523	195234351
19247	192476048
19329	193292510
19328	193286026
19624	196248639
19208	192080045
19107	191076011
19170	191703110
19268	192682075
19140	191407514
18935	189351826
19162	191624154
19394	193942202
19475	194755154
19073	190736537
19658	196585250
19048	190480283
19229	192299766
19199	191998425
19293	192936171
19069	190696223
19369	193698135
19418	194188477
19417	194179606
19236	192366513
19836	198364883
19363	193635592
19618	196188622
19298	192989918
19113	191133745
19618	196185385
19883	198837404
19484	194842025
19557	195577863
19629	196292931
19543	195434376
19583	195831061
19535	195356686
19609	196094779
19371	193716987
19260	192601451
19413	194132167
19699	196997129
19059	190598024
19357	193572650
19287	192878369
19277	192771921
19218	192189687
19378	193782807
19340	193408518
19512	195126717
19700	197005096
19262	192623654
19558	195581407
19360	193607103
19536	195369807
