CpuTime (ms)	CpuTime (ticks)
1266	12668525
1245	12458838
1372	13723506
1267	12676395
1277	12771578
1249	12496304
990	9901347
1262	12629203
1336	13369336
1039	10391172
1268	12681729
1236	12365803
1310	13105530
1243	12434955
1255	12558955
1273	12739051
1336	13363934
1265	12650941
1333	13332893
1351	13515576
1247	12477931
1319	13198478
1284	12843334
1253	12535871
1392	13922104
1262	12629619
1354	13548955
1243	12435912
1255	12551656
1222	12229713
1224	12246207
1240	12400335
1254	12545082
1324	13248770
1358	13589470
1302	13020447
1284	12842534
1206	12062550
1279	12793534
1309	13095737
1322	13224296
1371	13716203
1255	12554829
1255	12556592
1372	13723200
1431	14312697
1264	12648284
1243	12438663
1327	13274702
1243	12436634
1250	12503880
1266	12669048
1298	12989162
1258	12586944
1435	14353908
1222	12228776
1267	12671398
1412	14121409
1012	10125589
1672	16725536
1249	12492231
1279	12799347
1373	13736285
1313	13130741
1238	12385383
1320	13209226
1454	14547021
1640	16407943
1276	12764647
1359	13598473
1224	12240452
1360	13600069
1215	12158310
1076	10764909
1344	13442772
1329	13292566
1410	14100467
1268	12687695
1280	12805268
1247	12477060
1257	12573234
1287	12872526
1366	13666025
1217	12175241
1210	12101475
1247	12470874
1250	12509526
1237	12378081
1410	14109071
1260	12608080
1410	14100324
1320	13203410
1209	12096498
1443	14431847
1262	12627312
1386	13861062
1430	14308943
1288	12881809
1252	12521290
1293	12931499
