FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
142	1425969	69920
162	1621118	56120
156	1560598	1152040
163	1639815	45920
155	1557550	45880
143	1433544	960640
142	1427597	69840
148	1484277	78760
139	1393638	1168560
145	1454276	1547360
145	1452872	36280
151	1513055	886480
121	1214918	63119
146	1467814	56040
145	1457435	64479
148	1488592	35760
162	1626478	89360
146	1468641	967880
156	1566417	55760
151	1519201	327240
0	47	54040
165	1652030	915760
144	1446990	916720
141	1415649	48200
111	1119684	38000
140	1409410	395840
142	1426751	54200
141	1414674	69400
159	1590943	328000
125	1252064	53840
141	1413245	887840
140	1404443	85480
158	1588793	38720
148	1487931	52320
140	1405646	41000
69	698328	900200
143	1436043	47840
154	1549145	38120
143	1433749	953640
145	1458725	90280
143	1435863	35800
142	1420160	1014760
153	1539117	52320
164	1647935	937120
145	1453790	43840
142	1421961	70800
164	1646810	990560
151	1514640	41520
148	1482649	39600
153	1531328	945600
161	1618720	42320
142	1425697	61600
138	1385266	35960
140	1405453	73200
151	1512643	77080
141	1415708	947840
152	1528313	58280
143	1434945	37680
149	1494772	940800
160	1605141	42200
164	1644686	933040
154	1549104	39960
146	1468896	69840
160	1601702	1061080
154	1544081	67280
150	1505122	36120
138	1383128	909520
97	973992	69240
147	1474891	64960
140	1401167	939240
151	1511768	65960
142	1425244	55680
143	1435687	1012640
142	1426316	32920
145	1457268	44680
144	1445438	865760
142	1424637	36480
150	1501355	71440
147	1476600	943560
163	1632439	41400
76	769241	48200
138	1385607	38400
165	1652843	87200
135	1356267	51600
158	1585952	1125040
157	1572590	761040
67	679287	64040
145	1452252	416200
144	1448586	63200
157	1577118	70200
141	1418107	1118360
160	1604062	1046040
140	1406683	63280
155	1556053	995720
165	1650495	58080
74	749477	59720
145	1451586	0
155	1556588	39360
149	1493822	49400
0	52	17367080
