FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
258	2586015	928400
269	2698581	929800
264	2641091	40920
273	2736952	965480
266	2662477	36680
254	2542136	886600
253	2534514	57840
259	2593814	631000
245	2451228	876840
255	2552258	39720
260	2603920	1251320
260	2607393	58120
250	2504907	902760
259	2593848	48360
253	2531708	907840
260	2602178	1019360
274	2747793	933920
259	2593352	1048119
264	2647574	52760
263	2632981	1134840
253	2538500	60400
273	2739407	626560
257	2570291	922480
251	2516486	63720
242	2423789	11960
244	2449061	45120
249	2497092	1054160
247	2476028	88600
266	2666577	879640
242	2421318	50880
246	2464789	876480
244	2449987	71120
266	2668743	72240
264	2644423	877520
248	2489597	934760
187	1871554	935080
250	2508802	44880
263	2639458	938840
253	2537101	42920
258	2580615	880000
254	2541127	47960
252	2525467	985360
267	2679601	895760
272	2723246	61120
253	2530148	924720
252	2521944	43840
272	2727200	952400
262	2626505	53960
255	2557775	990560
266	2668583	915080
273	2737626	51360
243	2434394	902520
254	2541788	48200
245	2459508	883520
262	2629412	47600
248	2480514	70680
261	2613328	1427520
255	2550021	569520
262	2622706	1087920
266	2662590	614960
273	2730912	917880
267	2671977	77120
256	2567792	658720
267	2676829	1363240
267	2675620	85400
263	2633467	1347000
245	2453332	49840
236	2361677	1205880
262	2620725	41040
245	2457787	964880
265	2659562	1446720
262	2623514	74880
259	2591557	921320
249	2496129	566520
254	2547721	1530640
252	2522166	43520
249	2498200	1008999
261	2615097	896040
261	2611580	73240
274	2741708	1169480
202	2021766	45920
249	2492132	1181040
273	2735419	74320
247	2478342	954080
266	2663232	75520
260	2604730	43360
176	1761034	47600
245	2454334	996800
255	2558881	937280
267	2674825	43360
253	2530053	923000
267	2679814	39000
246	2462561	1344600
268	2681760	69840
272	2729582	1161360
200	2009719	55280
252	2522933	911440
264	2647285	899920
263	2631311	41160
262	2623937	16242560
