FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	15	33840
0	10	21760
0	14	36360
0	9	21080
0	16	36600
0	11	35920
0	20	448720
0	18	34960
0	15	25320
0	14	0
0	13	26080
0	14	448640
0	11	22360
0	8	448960
0	12	22320
0	19	445520
0	8	32239
0	16	34080
0	15	445000
0	9	448280
0	17	36200
0	9	19840
0	14	457880
0	14	20040
0	16	0
0	13	23120
0	13	30200
0	11	35560
0	18	23640
0	9	463400
0	18	446720
0	9	25880
0	15	23080
0	19	26520
0	13	26560
0	23	27880
0	10	25680
0	14	464800
0	21	26160
0	19	475200
0	7245	446280
0	16	29960
0	11	23720
0	12	26960
0	17	27800
0	15	23880
0	13	31680
0	10	23800
0	12	23320
0	15	23760
0	20	23560
0	10	24440
0	12	27400
0	15	23800
0	10	52760
0	13	24560
0	19	27360
0	14	24360
0	19	24000
0	13	24080
0	11	464760
0	14	25480
0	19	27280
0	11	32759
0	12	23480
0	17	34080
0	13	485400
0	21	26480
0	12	26600
0	19	31360
0	13	25520
0	13	17640
0	16	28720
0	15	37040
0	19	20040
0	12	35520
0	12	22600
0	14	34160
0	1819	531160
0	15	26520
0	10	26520
0	2305	0
0	14	27480
0	18	24520
0	1575	0
0	2430	50160
0	14	474680
0	8	32040
0	20	446680
0	2775	0
0	16	33920
0	17	27920
0	14	23560
0	18	24960
0	14	34520
0	18	54480
0	2480	50640
0	18	58720
0	15	514719
0	28	15556080
