FenceTime (ms)	FenceTime (ticks)	FrameTime (ns)
0	19	1195760
0	23	1165080
0	20	0
0	21	0
0	35	0
0	15	1084960
0	37	0
0	50	1094080
0	44	23720
2	29785	17480
0	26	10600
1	19944	0
0	45	0
2	20589	983760
2	21092	18000
0	53	1199760
0	26	1197400
0	34	1236880
0	41	1134880
0	27	1096760
0	16	1004359
0	36	19000
0	35	11120
1	19171	0
0	32	0
0	47	562200
2	21752	557480
2	21481	0
0	39	0
3	31432	2625880
0	44	1141880
2	21161	26600
0	28	1149720
2	22212	1169680
2	21965	0
2	21941	35320
0	47	1177960
2	21851	1110280
2	20890	1024960
2	25694	1084280
2	21548	980440
2	23198	1017960
2	25182	1577680
2	27941	963440
2	20148	499520
2	24170	502959
2	27145	978240
2	20699	1045520
2	27734	985320
2	20112	1190520
2	26534	995040
2	20566	27720
2	20777	1045320
2	24881	58960
2	20793	57440
2	20071	1019520
2	26011	1082320
1	19724	979640
2	20498	1002559
2	23977	991720
2	24888	27440
2	24535	996200
2	24030	1006080
2	24760	997520
2	27153	31200
2	20524	18880
2	25189	1009160
2	26968	35400
2	20322	1020999
2	24845	995000
2	24583	1005039
2	24775	1005080
2	24906	39520
2	24572	998160
0	24	1083960
2	23974	557520
2	24536	22360
2	27361	1020640
2	25430	549120
2	21574	986720
2	26423	1556200
0	40	978960
0	33	996920
0	39	989080
2	25216	1000960
2	20815	1016280
2	26161	503920
2	26417	990880
2	26484	45280
0	38	986840
0	37	1001080
0	37	982800
2	26251	37560
2	26287	0
2	26235	1039160
2	24655	1027640
2	21183	1045160
2	25254	57240
2	20792	553760
1	19979	16099160
