CpuTime (ms)	CpuTime (ticks)
5911	59115492
5842	58420405
5849	58494950
5878	58781499
5890	58906978
5876	58765639
5868	58687732
5882	58829795
5883	58833228
5891	58917931
5832	58325378
5863	58631881
5864	58643791
5844	58446001
5863	58631845
5871	58715794
5888	58882892
5830	58309750
5851	58511386
5848	58485745
5850	58501267
5856	58563256
5847	58474034
5871	58713574
5867	58670679
5853	58532003
5880	58807006
5865	58653511
5870	58706573
5856	58566600
5876	58766806
5869	58694693
5865	58650137
5867	58672584
5904	59040663
5845	58455019
5843	58436631
5855	58558076
5852	58524506
5858	58585012
5865	58659575
5863	58631746
5851	58514963
5879	58799111
5858	58582741
5871	58713461
5876	58762534
5846	58465119
5846	58463996
5857	58576560
5877	58774066
5885	58856417
5887	58878693
5895	58956524
5873	58735092
5896	58969345
5856	58566602
5848	58485522
5829	58295134
5879	58797322
5881	58811770
5837	58376874
5849	58490091
5860	58603148
5867	58670061
5846	58468775
5846	58467174
5828	58283927
5849	58490118
5894	58941003
5846	58465115
5853	58538113
5896	58960279
5862	58628396
5872	58721429
5845	58457945
5905	59053796
5881	58818081
5882	58829432
5869	58698793
5843	58439777
5864	58649050
5870	58702850
5861	58611632
5882	58821816
5861	58610743
5877	58777751
5863	58635613
5882	58823488
5848	58486605
5855	58550919
5850	58507504
5863	58633955
5875	58758853
5858	58587316
5857	58574949
5855	58557251
5840	58403752
5871	58715448
5864	58643760
