,0,1,2,3,4,5
0,3.6498586229319967e-07,9.660234357208688e-08,1.282473998360852,3.166186823401715,0.9444900777256152,0.057327082620430514
1,3.73049743187846e-07,1.0850152696191984e-07,1.1575479817608172,2.9514691553437093,0.9532066435517241,0.05719558801067537
2,3.6213264135061317e-07,8.928125256727826e-08,1.3638343355158764,3.170961767831744,0.9433499302136102,0.05782224204037767
3,3.6862159953312244e-07,8.066822950757894e-08,1.1489945340835481,3.0758748431570586,0.9485885729595743,0.0570875042600798
4,3.784744233393159e-07,8.82029440124907e-08,1.250068180224146,2.9513430579556954,0.9521594272046972,0.05897892147711892
5,3.2169768312856254e-07,8.51811108481023e-08,1.4520515682985091,3.519766974415706,0.9294273595710273,0.058202712240931986
6,3.4662236736766336e-07,8.732610774450138e-08,1.4038568322370413,3.3226561967141643,0.9369875320512124,0.06044666237136431
7,3.5327077525340054e-07,8.94576828603244e-08,1.2425084468186187,3.266162234093656,0.9416198194853342,0.0549500609714888
8,3.6093021736862883e-07,8.845589563468576e-08,1.29640077666817,3.173176509004116,0.9437849067691005,0.05601711166098833
9,3.702215600654725e-07,1.0245920095645293e-07,1.1968005924502998,2.9076689807279754,0.9524892795508931,0.055805248770605
10,3.471463145413228e-07,1.0131917406793762e-07,1.4741204897475155,3.3007468010648955,0.9356411452183457,0.06573775578653951
11,3.38348233499272e-07,9.424218273987432e-08,1.4255836090942557,3.3319338002933407,0.9370398780221341,0.06444311911219558
12,3.5648889137377254e-07,1.0248511972986016e-07,1.3175575191402733,3.210563624520721,0.9412886126082526,0.06181447860708833
13,3.442067076419824e-07,8.874201577854601e-08,1.4777300237562203,3.3888229176988847,0.9346366422805424,0.06225968375855595
14,3.498712005242201e-07,9.436865434601838e-08,1.2342835820599478,3.2040868337793906,0.9430943433361423,0.05601277387661152
15,3.5392855121209226e-07,8.839981032180027e-08,1.1827910480485375,3.211578631974667,0.9445817701716966,0.053217260830278335
16,3.645092200171027e-07,8.991412763031685e-08,1.39304434317072,3.1822466531498943,0.9425620900131629,0.05989593359415746
17,3.5610146940023646e-07,8.764485878310883e-08,1.3031598634390928,3.2403354937964606,0.9422182122870764,0.05752156782608431
18,3.73049743187846e-07,1.0850152696191984e-07,1.1575479817608172,2.9514691553437093,0.9532066435517241,0.05719558801067537
19,3.502415881181034e-07,8.879134499305315e-08,1.3972587309368645,3.3181017718995687,0.9359356713804391,0.06269520711411447
20,3.62699127286693e-07,8.352550176250641e-08,1.1038841069862029,2.9538076297653837,0.9516480415984226,0.05724521571897356
21,3.4756612961724055e-07,8.689398814762135e-08,1.2385532696676358,3.2914464945880155,0.9389101133571083,0.05807734417011401
